Word,POS
I,PRP
want,VBP
you,PRP
to,TO
make,VB
another,DT
6,CD
stack,VBP
6,CD
high,JJ
right,JJ
next,JJ
to,TO
it,PRP
touching,VBG
touching,VBG
for,IN
now,RB
I,PRP
'll,MD
give,VB
you,PRP
more,RBR
instructions,NNS
when,WRB
she,PRP
get,VB
there,RB
okay,JJ
the,DT
one,CD
on,IN
your,PRP$
left,NN
is,VBZ
to,TO
remain,VB
straight,JJ
when,WRB
you,PRP
're,VBP
right,JJ
it,PRP
's,VBZ
a,DT
band,NN
a,DT
little,JJ
bit,NN
of,IN
way,NN
to,TO
position,VB
them,PRP
a,DT
little,JJ
bit,NN
away,RB
just,RB
ever-so-slightly,RB
