Word,Start (s),End (s)
all,2.4,2.8
right,2.8,3.1
this,3.1,3.5
is,3.5,3.6
pretty,3.6,3.9
simple,3.9,4.2
when,4.2,4.5
I,4.5,4.6
take,4.6,4.8
4,4.8,5.0
blocks,5.0,5.4
stick,6.7,7.2
them,7.2,7.3
in,7.3,7.4
a,7.4,7.5
line,7.5,7.7
in,7.7,7.8
front,7.8,7.9
of,7.9,8.1
you,8.1,8.1
together,9.1,10.0
I,10.0,11.1
would,11.1,11.2
like,11.2,11.4
you,11.4,11.6
to,11.6,11.7
take,11.7,11.9
two,11.9,12.5
of,12.5,12.6
them,12.6,12.7
and,12.7,12.8
separate,12.8,13.2
them,13.2,13.3
just,13.3,13.6
a,13.6,13.6
little,13.6,13.9
bit,13.9,14.1
perfect,15.7,16.4
I'll,16.4,17.0
go,17.0,17.2
to,17.2,17.3
the,17.3,17.4
end,17.4,17.6
blocks,17.6,17.9
separate,17.9,18.5
than,18.5,18.7
the,18.7,18.7
same,18.7,19.0
amount,19.0,19.2
