Word,POS
step,NN
one,CD
take,NN
for,IN
blocks,NNS
I,PRP
want,VBP
to,TO
Table,NNP
in,IN
a,DT
line,NN
in,IN
front,NN
of,IN
you,PRP
okay,JJ
I,PRP
want,VBP
you,PRP
to,TO
tell,VB
all,DT
of,IN
them,PRP
so,RB
that,IN
the,DT
one,CD
corner,NN
is,VBZ
touching,VBG
okay,JJ
you,PRP
see,VBP
how,WRB
there,EX
are,VBP
three,CD
divots,NNS
and,CC
I,PRP
on,IN
the,DT
1/4,CD
on,IN
3,CD
minutes,NNS
at,IN
the,DT
farthest,JJS
from,IN
you,PRP
I,PRP
want,VBP
you,PRP
take,VB
one,CD
block,NN
on,IN
your,PRP$
right,JJ
side,NN
I,PRP
want,VBP
you,PRP
to,TO
position,VB
it,PRP
in,IN
the,DT
debit,NN
yep,RB
yep,RB
take,VB
another,DT
one,CD
city,NN
on,IN
the,DT
other,JJ
side,NN
did,VBD
it,PRP
the,DT
other,JJ
ones,NNS
I,PRP
just,RB
told,VBD
you,PRP
to,TO
put,VB
that,IN
I,PRP
work,VBP
that,IN
you,PRP
might,MD
last,VB
you,PRP
up,RB
and,CC
told,VBD
you,PRP
to,TO
put,VB
push,VB
them,PRP
up,RP
a,DT
little,JJ
bit,NN
position,NN
