Word,POS
all,DT
right,JJ
first,JJ
step,NN
take,VB
3,CD
2,CD
blocks,NNS
I,PRP
want,VBP
you,PRP
to,TO
stack,VB
that,DT
.,.
Put,VB
them,PRP
in,IN
a,DT
vertical,JJ
line,NN
on,IN
your,PRP$
right,JJ
yep,NN
that,WDT
's,VBZ
the,DT
right,JJ
side,NN
okay,JJ
I,PRP
want,VBP
you,PRP
to,TO
take,VB
another,DT
block,NN
and,CC
put,VBD
it,PRP
to,TO
your,PRP$
left,VBN
on,IN
the,DT
top,JJ
lock,NN
so,RB
up,IN
no,DT
down,RB
down,IN
the,DT
table,NN
up,IN
one,CD
.,.
One,CD
set,VBN
up,RP
perfect,JJ
now,RB
I,PRP
see,VBP
the,DT
two,CD
blocks,NNS
are,VBP
there,EX
that,WDT
has,VBZ
to,TO
do,VB
that,DT
one,CD
and,CC
then,RB
look,VB
up,RP
one,CD
more,JJR
to,TO
it,PRP
that,IN
one,CD
yep,NN
take,VBP
the,DT
both,DT
of,IN
those,DT
away,RB
I,PRP
know,VBP
but,CC
they,PRP
put,VBD
the,DT
other,JJ
one,CD
vertical,JJ
stack,VBP
no,DT
you,PRP
have,VBP
the,DT
bottom,JJ
one,CD
point,NN
to,TO
the,DT
one,CD
closest,JJS
to,TO
you,PRP
go,VB
one,CD
up,RP
from,IN
it,PRP
take,VB
that,DT
block,NN
away,RB
back,RB
later,RB
go,VB
right,RB
where,WRB
that,DT
's,VBZ
faces,NNS
go,VB
up,RP
one,CD
move,NN
that,WDT
block,VBP
okay,JJ
now,RB
you,PRP
see,VBP
the,DT
top,JJ
one,CD
the,DT
one,NN
that,WDT
's,VBZ
furthest,JJS
away,RB
from,IN
you,PRP
leave,VBP
that,IN
one,CD
there,EX
take,VBP
two,CD
blocks,NNS
put,VB
them,PRP
right,RB
against,IN
the,DT
side,NN
of,IN
it,PRP
put,VB
one,CD
of,IN
them,PRP
on,IN
the,DT
other,JJ
side,NN
so,IN
you,PRP
should,MD
yes,RB
exactly,RB
then,RB
I,PRP
want,VBP
you,PRP
to,TO
put,VB
another,DT
one,CD
a,DT
third,JJ
one,CD
in,IN
the,DT
same,JJ
way,NN
you,PRP
just,RB
put,VBD
the,DT
other,JJ
two,CD
perfect,JJ
now,RB
I,PRP
'd,MD
like,VB
to,TO
go,VB
to,TO
the,DT
one,CD
that,WDT
's,VBZ
to,TO
your,PRP$
left,NN
that,DT
's,VBZ
when,WRB
the,DT
first,JJ
left,JJ
go,VB
one,CD
right,JJ
go,VB
one,CD
right,JJ
yep,NN
take,VB
that,DT
one,CD
away,RB
all,DT
right,NN
go,VB
to,TO
the,DT
go,NN
to,TO
a,DT
spot,NN
that,WDT
void,VBP
void,NN
go,VB
to,TO
your,PRP$
right,NN
again,RB
take,VB
it,PRP
away,RB
all,DT
right,JJ
take,NN
three,CD
blocks,NNS
and,CC
she,PRP
the,DT
one,CD
that,WDT
's,VBZ
closest,JJS
to,TO
you,PRP
yes,RB
I,PRP
want,VBP
you,PRP
to,TO
stick,VB
3,CD
blocks,NNS
on,IN
the,DT
side,NN
to,TO
your,PRP$
left,VBN
to,TO
its,PRP$
on,IN
the,DT
left,JJ
side,NN
okay,JJ
take,VB
one,CD
additional,JJ
block,NN
take,VB
the,DT
one,CD
that,WDT
's,VBZ
to,TO
your,PRP$
left,VBN
to,TO
go,VB
in,IN
the,DT
stroller,NN
and,CC
stick,VB
that,IN
one,CD
in,IN
front,NN
of,IN
it,PRP
okay,JJ
I,PRP
know,VBP
those,DT
three,CD
that,IN
I,PRP
just,RB
had,VBD
to,TO
put,VB
down,RP
before,IN
I,PRP
get,VBP
rid,JJ
of,IN
them,PRP
put,VB
them,PRP
away,RB
