Word,POS
okay,JJ
take,VB
three,CD
blocks,NNS
actually,RB
take,VBP
for,IN
putting,VBG
two,CD
line,NN
in,IN
front,NN
of,IN
you,PRP
straight,RB
in,IN
front,NN
of,IN
you,PRP
I,PRP
got,VBD
a,DT
block,NN
and,CC
stick,VB
it,PRP
at,IN
the,DT
end,NN
yep,NN
put,VBD
down,RP
you,PRP
take,VBP
the,DT
left,VBN
most,RBS
block,VB
went,VBD
out,RP
at,IN
one,CD
block,NN
to,TO
your,PRP$
right,NN
remove,VB
it,PRP
Tooele,NNP
and,CC
go,VB
to,TO
the,DT
three,CD
island,NN
of,IN
three,CD
I,PRP
want,VBP
you,PRP
separate,VB
them,PRP
just,RB
ever-so-slightly,RB
perfect,JJ
you,PRP
're,VBP
going,VBG
to,TO
take,VB
one,CD
block,NN
you,PRP
're,VBP
going,VBG
to,TO
stick,VB
it,PRP
directly,RB
on,IN
top,NN
of,IN
the,DT
rightmost,JJ
block,NN
I,PRP
want,VBP
you,PRP
to,TO
move,VB
it,PRP
to,TO
your,PRP$
left,NN
just,RB
a,DT
little,JJ
bit,NN
so,RB
just,RB
as,IN
touching,VBG
the,DT
perfect,JJ
as,IN
perfect,JJ
alright,JJ
sorry,JJ
can,MD
you,PRP
you,PRP
see,VBP
the,DT
two,CD
blocks,NNS
that,IN
the,DT
walk,NN
in,IN
the,DT
middle,JJ
yep,NN
I,PRP
want,VBP
you,PRP
to,TO
move,VB
move,VB
the,DT
other,JJ
one,CD
do,VBP
you,PRP
want,VB
your,PRP$
left,NN
that,IN
one,CD
end,NN
to,TO
push,VB
that,DT
went,VBD
into,IN
the,DT
other,JJ
perfect,JJ
block,NN
stick,VB
it,PRP
on,IN
the,DT
intersection,NN
that,IN
I,PRP
just,RB
how,WRB
I,PRP
had,VBD
you,PRP
make,VBP
take,VB
one,CD
block,NN
you,PRP
're,VBP
going,VBG
to,TO
stick,VB
it,PRP
halfway,RB
across,IN
on,IN
the,DT
nope,NN
on,IN
that,DT
one,CD
move,NN
it,PRP
over,IN
to,TO
your,PRP$
left,VBD
a,DT
little,JJ
bit,NN
perfect,JJ
do,VB
you,PRP
see,VB
how,WRB
that,DT
's,VBZ
why,WRB
I,PRP
want,VBP
you,PRP
to,TO
make,VB
that,DT
stack,VB
just,RB
letting,VBG
that,IN
counter,NN
so,RB
go,VB
sings,VBZ
that,DT
's,VBZ
across,IN
and,CC
I,PRP
want,VBP
you,PRP
to,TO
make,VB
that,DT
in,IN
total,JJ
5,CD
high,JJ
perfect,JJ
there,EX
's,VBZ
three,CD
blocks,NNS
left,VBD
to,TO
place,VB
take,VB
one,CD
block,NN
on,IN
your,PRP$
right,NN
most,RBS
block,VB
that,IN
stack,VB
on,IN
the,DT
right,JJ
yes,RB
that,IN
one,CD
do,VBP
n't,RB
you,PRP
stick,VB
on,RP
top,JJ
but,CC
also,RB
skew,VB
it,PRP
the,DT
other,JJ
way,NN
other,JJ
way,NN
not,RB
.,.
Perfect,NNP
okay,JJ
see,VBP
that,IN
wall,NN
Island,NN
block,VBP
out,IN
there,RB
I,PRP
want,VBP
you,PRP
to,TO
take,VB
another,DT
block,NN
I,PRP
want,VBP
to,TO
stick,VB
it,PRP
on,IN
top,NN
of,IN
it,PRP
