Word,Start (s),End (s)
okay,2.7,3.3
take,3.3,3.8
three,3.8,4.0
blocks,4.0,4.4
actually,4.4,5.6
take,5.6,6.1
for,6.1,6.6
putting,6.6,7.2
two,7.2,7.3
line,7.3,7.3
in,7.3,7.5
front,7.5,7.6
of,7.6,7.7
you,7.7,7.8
straight,9.4,9.8
in,9.8,9.9
front,9.9,9.9
of,9.9,10.1
you,10.1,10.2
I,12.6,12.9
got,12.9,13.1
a,13.1,13.2
block,13.2,13.5
and,13.5,13.6
stick,13.6,13.8
it,13.8,13.9
at,13.9,14.1
the,14.1,14.4
end,14.4,14.8
yep,16.8,17.4
put,17.4,17.6
down,17.6,17.9
you,19.1,19.6
take,19.6,20.9
the,20.9,21.7
left,21.7,22.8
most,22.8,22.9
block,22.9,23.3
went,23.3,23.7
out,23.7,23.8
at,23.8,24.0
one,24.0,25.3
block,25.3,25.7
to,25.7,26.3
your,26.3,26.5
right,26.5,26.8
remove,28.7,29.2
it,29.2,29.4
Tooele,33.8,34.5
and,34.5,34.8
go,34.8,35.0
to,35.0,35.1
the,35.1,35.2
three,35.2,35.5
island,35.5,36.5
of,36.5,36.5
three,36.5,36.8
I,36.8,37.9
want,37.9,38.0
you,38.0,38.2
separate,38.2,38.6
them,38.6,38.7
just,38.7,39.0
ever-so-slightly,39.0,39.3
perfect,41.9,42.6
you're,42.6,43.6
going,43.6,43.8
to,43.8,43.9
take,43.9,44.2
one,44.2,44.8
block,44.8,45.2
you're,46.9,47.3
going,47.3,47.5
to,47.5,47.8
stick,47.8,48.2
it,48.2,49.0
directly,49.0,49.8
on,49.8,50.1
top,50.1,50.2
of,50.2,50.6
the,50.6,50.8
rightmost,50.8,51.5
block,51.5,52.2
I,53.1,53.5
want,53.5,53.7
you,53.7,53.9
to,53.9,54.0
move,54.0,54.1
it,54.1,54.4
to,54.4,54.8
your,54.8,54.9
left,54.9,55.6
just,55.6,56.2
a,56.2,56.3
little,56.3,56.4
bit,56.4,56.9
so,56.9,57.8
just,57.8,57.8
as,57.8,58.2
touching,58.2,58.6
the,58.6,58.7
perfect,58.7,59.5
as,59.5,59.7
perfect,59.7,59.7
alright,64.9,65.6
sorry,65.6,66.4
can,66.4,66.8
you,66.8,67.0
you,67.0,67.2
see,67.2,67.4
the,67.4,67.6
two,67.6,67.8
blocks,67.8,68.2
that,68.2,68.8
the,68.8,69.0
walk,69.0,69.5
in,69.5,69.6
the,69.6,69.7
middle,69.7,69.9
yep,69.9,70.4
I,70.4,70.9
want,70.9,71.1
you,71.1,71.2
to,71.2,71.3
move,71.3,71.5
move,71.5,72.5
